"user_id","created_at","action","info"
"0","2025-07-04 14:12:59.019931","sign_up","{""name"": ""millerhospitality"", ""user_name"": null, ""bio"": ""Passionate about hospitality & tourism. Exploring the world one destination at a time.""}"
"1","2025-07-04 14:12:59.957491","sign_up","{""name"": ""emma_logistics_guru"", ""user_name"": null, ""bio"": ""Passionate about transportation and logistics | ENFJ | Always seeking new connections and opportunities""}"
"2","2025-07-04 14:12:59.957491","sign_up","{""name"": ""ryantechsavvy22"", ""user_name"": null, ""bio"": ""Tech enthusiast | STEM student | Constantly seeking knowledge""}"
"3","2025-07-04 14:12:59.957491","sign_up","{""name"": ""biz_mind45"", ""user_name"": null, ""bio"": ""Dedicated marketer with a passion for economics and business. Constantly seeking new opportunities to grow and learn.""}"
"4","2025-07-04 14:12:59.957491","sign_up","{""name"": ""JakeAgEcon"", ""user_name"": null, ""bio"": ""Exploring the intersections of agriculture, economics, and business \ud83c\udf3e\ud83d\udcbc | ISTJ | 23 |  #AgEcon""}"
"5","2025-07-04 14:12:59.957491","sign_up","{""name"": ""EcoBizExplorer"", ""user_name"": null, ""bio"": ""Passionate about economics and business. Let's explore the world of transportation and logistics together! \ud83d\ude9a\ud83d\udcbc""}"
"6","2025-07-04 14:13:00.894931","sign_up","{""name"": ""intj_emily"", ""user_name"": null, ""bio"": ""Exploring the world through economics and business. Human services professional with a curious mind.""}"
"7","2025-07-04 14:13:00.894931","sign_up","{""name"": ""sereneadvocate"", ""user_name"": null, ""bio"": ""Passionate about promoting social welfare and advocating for change. Lover of culture, society, and politics. Making a difference, one day at a time.""}"
"8","2025-07-04 14:13:00.894931","sign_up","{""name"": ""hfarmer47"", ""user_name"": null, ""bio"": ""Agriculture enthusiast | Exploring the intersection of culture, society, and business | Nature lover \ud83c\udf3f""}"
"9","2025-07-04 14:13:00.894931","sign_up","{""name"": ""ethan_the_infp"", ""user_name"": null, ""bio"": ""Curious mind exploring the intersection of STEM and society \ud83c\udf0c | INFP | Tech enthusiast | Science lover | Culture seeker""}"
"10","2025-07-04 14:13:01.848151","sign_up","{""name"": ""sophia_entp14"", ""user_name"": null, ""bio"": ""Curious mind exploring the intersections of technology and society \ud83c\udf1f Human Services enthusiast \ud83c\udf08""}"
"11","2025-07-04 14:13:01.848151","sign_up","{""name"": ""SamInMarketing"", ""user_name"": null, ""bio"": ""Passionate about marketing and technology. Learning and growing every day. \ud83d\ude80""}"
"12","2025-07-04 14:13:01.848151","sign_up","{""name"": ""health_sci_oliver"", ""user_name"": null, ""bio"": ""Health Science enthusiast | Keeping up with the latest news | Fun is my middle name \ud83c\udf89""}"
"13","2025-07-04 14:13:01.848151","sign_up","{""name"": ""archibuildermax"", ""user_name"": null, ""bio"": ""Architect & Construction Enthusiast | Passionate about Economics & Business | ESTJ | Let's build a better world together \ud83c\udfd7\ufe0f\ud83c\udf0e""}"
"14","2025-07-04 14:13:01.848151","sign_up","{""name"": ""emily_logisticslover"", ""user_name"": null, ""bio"": ""Passionate about connecting people through efficient transportation and logistics. Embracing culture, society, and business dynamics.""}"
"15","2025-07-04 14:13:02.785771","sign_up","{""name"": ""enthused_architect"", ""user_name"": null, ""bio"": ""Exploring the world through architecture| Future designer and builder| ENTP""}"
